overall_1%,overall_5%,overall_25%,overall_50%,overall_75%,overall_95%,overall_99%,simple_1%,simple_5%,simple_25%,simple_50%,simple_75%,simple_95%,simple_99%,complex_1%,complex_5%,complex_25%,complex_50%,complex_75%,complex_95%,complex_99%,dname,substrNum,complexRate,lossCoff
0.06111757234069612,0.1760581898809524,0.6224488616071429,1.1160569,1.5737106749999998,5.971650781818171,19.86034499000001,0.07744527947669173,0.1694880314285714,0.5465450683110368,0.9662673183873525,1.4920963519662922,6.604593396428583,23.63194153999999,0.05130626715527951,0.18316659536363636,0.76726200625,1.1550095,1.6347691750000002,5.614214809999982,15.644342769999994,DBLP,1,0.0,0.5
0.06590062092257687,0.1968633654761905,0.6931993211864407,1.1745416454965358,1.8526506241329481,6.168287224999997,21.893303348823654,0.10181517573571429,0.2298137269778484,0.6626595147637603,1.1188238836734694,2.0104236532608697,8.796277087500002,36.01905688999978,0.04990881867741936,0.17277794215217393,0.739925325,1.1987466000000002,1.743523775,4.652044309999997,11.304280261666662,DBLP,1,0.0,1.0
0.053448129596774197,0.18026994342765046,0.6827740958333334,1.1670080999999999,1.6687071090067342,6.516563939999996,23.77966260000001,0.07654245406140352,0.18422618012500003,0.6427519323770492,1.0813014138888888,1.7436390694933923,7.694527596502354,34.97655579621808,0.046815975387380776,0.173040022184874,0.7600783642857143,1.1923004000000001,1.5985423012396696,5.602472583333333,14.506515084999958,DBLP,1,0.0,1.5
0.05607083060466897,0.18003834383333336,0.612263247769953,1.0,1.5221660083333335,6.125626399999988,25.722745050000032,0.058743138631720426,0.18388310542518319,0.5739713581818181,1.0,1.8263754749999999,8.883158060000007,40.83956964999971,0.053898011375,0.17613871008333334,0.6653177551946284,1.00376515,1.357433725,4.310711074999996,11.437126824999996,DBLP,1,0.2,0.5
0.06829540575,0.20738412479166668,0.6436473749999999,1.0683734793214863,1.5097464958333333,6.442944432045453,22.804153460000016,0.06870111445906434,0.20818067178032054,0.5988003033333333,1.02401525,1.7650970846142786,8.901075558333353,42.17530124999975,0.0681714672338983,0.20305796666666667,0.70818641875,1.0786818,1.35671535,4.828021349999991,11.978599999999977,DBLP,1,0.2,1.0
0.055744287401869166,0.14415870793981483,0.5391473491071428,1.0008138999999998,1.4562324000000002,4.7550319049999965,20.582537380000293,0.06563548178589744,0.14893481484126986,0.4883826471816283,0.9541792161958778,1.689100794047619,7.309653450000008,33.419204824999895,0.04303185136581197,0.1383323781547619,0.6021149625,1.0178498,1.3276894750000001,3.211441749999999,8.083586677000001,DBLP,1,0.2,1.5
0.051359217270753516,0.1383395356557377,0.5104065871090574,1.118350175,1.4800994250000001,5.00563250833333,18.442334213750062,0.04743751115384616,0.12830574894976307,0.41371642816025783,0.8765942,1.6322885857142857,7.675786184545458,32.484663229999974,0.05199473442601036,0.15470787104166667,0.638197575,1.1758203,1.420379675,3.372028027499995,7.922007974999999,DBLP,1,0.5,0.5
0.06009059745846155,0.1783397848128673,0.6185704326923077,1.068504,1.6326863999999999,6.327197008183622,27.351019180000023,0.0510950158,0.14988932239534405,0.5528231413461537,1.0408983711322457,1.8865375848121086,10.13266365,45.90729355999969,0.07110078948245303,0.21380178200000008,0.7123604678030302,1.07502605,1.4805518500000001,3.9553026349999945,11.799025839999985,DBLP,1,0.5,1.0
0.0579095534616924,0.15367313025936072,0.5493706515089257,1.0633246500000002,1.6378425541666666,6.32263010833333,24.25205316000008,0.05757933743842365,0.1337824014151197,0.44312133942307697,0.9275114849227639,1.8360691,9.677335391503268,36.76950829999998,0.05851099314285715,0.1774269470263158,0.6946249999999999,1.1145651,1.53980315,4.105565859999997,13.337634599999975,DBLP,1,0.5,1.5
0.04899820945,0.1452426572994403,0.5579382041666666,1.08878045,1.6494477989612186,6.902960062499999,30.52328921000002,0.03853104705149452,0.11812178575481144,0.4686470211062591,1.0738592047213622,2.2149616,11.95513265724638,49.038971619999614,0.06855913444699963,0.17879007757352944,0.6478901458333334,1.09118945,1.421937875,3.452345699999998,9.369020097999998,DBLP,1,0.8,0.5
